term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SU22,2022-06-10,5,G502,duyenntn,5039,17,GBC0905,,,,,0
SU22,2022-06-10,6,G502,duyenntn,5039,18,GBC0905,,,,,0
SU22,2022-06-13,5,G502,duyenntn,5039,19,GBC0905,,,,,0
SU22,2022-06-13,6,G502,duyenntn,5039,20,GBC0905,,,,,0
SU22,2022-06-15,5,G502,duyenntn,5039,21,GBC0905,,,,,0
SU22,2022-06-15,6,G502,duyenntn,5039,22,GBC0905,,,,,0
SU22,2022-06-17,5,G502,duyenntn,5039,23,GBC0905,,,,,0
SU22,2022-06-17,6,G502,duyenntn,5039,24,GBC0905,,,,,0
SU22,2022-06-20,5,G502,duyenntn,5039,25,GBC0905,,,,,0
SU22,2022-06-20,6,G502,duyenntn,5039,26,GBC0905,,,,,0
SU22,2022-06-22,5,G502,duyenntn,5039,27,GBC0905,,,,,0
SU22,2022-06-22,6,G502,duyenntn,5039,28,GBC0905,,,,,0
SU22,2022-06-24,5,G502,duyenntn,5039,29,GBC0905,,,,,0
SU22,2022-06-24,6,G502,duyenntn,5039,30,GBC0905,,,,,0
SU22,2022-06-27,5,G502,duyenntn,5039,31,GBC0905,,,,,0
SU22,2022-06-27,6,G502,duyenntn,5039,32,GBC0905,,,,,0
SU22,2022-06-29,5,G502,duyenntn,5039,33,GBC0905,,,,,0
SU22,2022-06-29,6,G502,duyenntn,5039,34,GBC0905,,,,,0
SU22,2022-07-01,5,G502,duyenntn,5039,35,GBC0905,,,,,0
SU22,2022-07-01,6,G502,duyenntn,5039,36,GBC0905,,,,,0
SU22,2022-07-11,5,G502,duyenntn,5039,37,GBC0905,,,,,0
SU22,2022-07-11,6,G502,duyenntn,5039,38,GBC0905,,,,,0
SU22,2022-07-13,5,G502,duyenntn,5039,39,GBC0905,,,,,0
SU22,2022-07-13,6,G502,duyenntn,5039,40,GBC0905,,,,,0
SU22,2022-05-24,4,G402,minhdh20,736,1,GBC0905,,,,,0
SU22,2022-05-24,5,G402,minhdh20,736,2,GBC0905,,,,,0
